09374;Neustadt a.d.Waldnaab (Lkr);86;90;98;126;114;127
09375;Regensburg (Lkr);2104;2042;2149;2328;2425;2675
09376;Schwandorf (Lkr);394;370;480;408;412;512
09377;Tirschenreuth (Lkr);74;72;83;49;61;63
09461;Bamberg (Krfr.St);27;20;30;22;17;33
09462;Bayreuth (Krfr.St);36;38;43;48;45;36
09463;Coburg (Krfr.St);14;17;28;30;24;16
09464;Hof (Krfr.St);11;19;21;16;11;14
09471;Bamberg (Lkr);33;13;19;16;15;16
09472;Bayreuth (Lkr);13;19;17;23;23;19
09473;Coburg (Lkr);4;10;11;7;9;9
09474;Forchheim (Lkr);11;8;10;26;14;16
09475;Hof (Lkr);17;19;11;17;20;16
09476;Kronach (Lkr);8;8;5;4;7;7
09477;Kulmbach (Lkr);6;11;6;10;14;9
09478;Lichtenfels (Lkr);9;10;18;19;14;11
09479;Wunsiedel i.Fichtelgebirge (Lkr);31;37;26;36;42;30
09561;Ansbach (Krfr.St);7;4;11;13;8;12
09562;Erlangen (Krfr.St);29;49;41;41;45;56
09563;F�rth (Krfr.St);15;30;34;18;28;21
09564;N�rnberg (Krfr.St);160;114;112;143;142;147
09565;Schwabach (Krfr.St);5;6;9;9;11;12
09571;Ansbach (Lkr);33;17;26;28;32;30
09572;Erlangen-H�chstadt (Lkr);15;23;14;29;22;13
09573;F�rth (Lkr);93;49;64;64;56;16
09574;N�rnberger Land (Lkr);19;29;36;38;49;34
09575;Neustadt a.d.Aisch-Bad Windsheim (Lkr);7;6;11;7;7;8
09576;Roth (Lkr);13;26;23;26;23;21
09577;Wei�enburg-Gunzenhausen (Lkr);13;16;19;12;11;18
09661;Aschaffenburg (Krfr.St);6;6;10;9;9;9
09662;Schweinfurt (Krfr.St);4;7;6;2;7;5
09663;W�rzburg (Krfr.St);47;45;53;69;53;46
09671;Aschaffenburg (Lkr);7;5;7;7;6;10
09672;Bad Kissingen (Lkr);6;5;7;6;13;6
09673;Rh�n-Grabfeld (Lkr);10;7;3;4;10;7
09674;Ha�berge (Lkr);8;4;5;10;6;11
09675;Kitzingen (Lkr);9;8;7;5;9;3
09676;Miltenberg (Lkr);9;10;2;7;8;5
09677;Main-Spessart (Lkr);9;12;23;8;8;6
09678;Schweinfurt (Lkr);12;11;10;12;5;5
09679;W�rzburg (Lkr);13;12;18;14;25;19
09761;Augsburg (Krfr.St);58;50;47;53;59;54
09762;Kaufbeuren (Krfr.St);9;7;14;12;11;11
09763;Kempten (Allg�u) (Krfr.St);12;7;14;11;10;13
09764;Memmingen (Krfr.St);5;2;10;5;6;9
09771;Aichach-Friedberg (Lkr);17;15;27;20;23;28
09772;Augsburg (Lkr);21;23;26;29;27;27
09773;Dillingen a.d.Donau (Lkr);9;20;12;13;14;12
09774;G�nzburg (Lkr);15;14;8;11;6;11
09775;Neu-Ulm (Lkr);15;16;11;17;15;15
09776;Lindau (Bodensee) (Lkr);11;16;10;11;18;18
09777;Ostallg�u (Lkr);14;15;29;21;35;29
09778;Unterallg�u (Lkr);15;20;17;14;16;16
09779;Donau-Ries (Lkr);22;15;24;24;13;17
09780;Oberallg�u (Lkr);9;20;20;24;11;22
10041;Stadtverband Saarbr�cken, Landkreis;1;11;9;8;13;16
10042;Merzig-Wadern, Landkreis;-;3;1;5;-;-
10043;Neunkirchen, Landkreis;2;-;1;1;2;1
10044;Saarlouis, Landkreis;1;3;2;4;-;1
10045;Saarpfalz-Kreis;8;-;4;11;3;4
10046;St. Wendel, Landkreis;-;1;1;2;2;2
11000;Berlin, Stadt;124;124;135;158;130;159
12051;Brandenburg an der Havel, Stadt;1;1;1;1;1;-
12052;Cottbus, Stadt;1;5;4;3;5;9
12053;Frankfurt (Oder), Stadt;1;-;-;1;-;1
12054;Potsdam, Stadt;4;5;5;3;3;6
12060;Barnim, Landkreis;1;-;-;3;3;-
12061;Dahme-Spreewald, Landkreis;3;2;2;-;1;6
12062;Elbe-Elster, Landkreis;1;4;3;-;1;1
12063;Havelland, Landkreis;2;-;4;1;2;6
12064;M�rkisch-Oderland, Landkreis;2;2;5;2;3;3
12065;Oberhavel, Landkreis;3;2;4;-;5;3
12066;Oberspreewald-Lausitz, Landkreis;3;1;4;3;2;3
12067;Oder-Spree, Landkreis;3;3;3;2;1;6
12068;Ostprignitz-Ruppin, Landkreis;1;2;-;2;-;-
12069;Potsdam-Mittelmark, Landkreis;2;4;3;3;2;2
12070;Prignitz, Landkreis;1;1;-;-;4;2
12071;Spree-Nei�e, Landkreis;7;1;1;1;1;-
12072;Teltow-Fl�ming, Landkreis;4;2;-;1;2;3
12073;Uckermark, Landkreis;-;2;6;-;1;-
13001;Greifswald, Hansestadt;5;-;-;-;-;-
13002;Neubrandenburg, Stadt;3;-;-;-;-;-
13003;Rostock, Hansestadt;3;9;5;7;5;12
13004;Schwerin, Landeshauptstadt;2;1;1;1;1;-
13005;Stralsund, Hansestadt;-;-;-;-;-;-
13006;Wismar, Hansestadt;-;-;-;-;-;-
13051;Bad Doberan, Landkreis;3;-;-;-;-;-
13052;Demmin, Landkreis;-;-;-;-;-;-
13053;G�strow, Landkreis;2;-;-;-;-;-
13054;Ludwigslust, Landkreis;1;-;-;-;-;-
13055;Mecklenburg-Strelitz, Landkreis;-;-;-;-;-;-
13056;M�ritz, Landkreis;-;-;-;-;-;-
13057;Nordvorpommern, Landkreis;1;-;-;-;-;-
13058;Nordwestmecklenburg, Landkreis;-;-;-;-;-;-
13059;Ostvorpommern, Landkreis;2;-;-;-;-;-
13060;Parchim, Landkreis;-;-;-;-;-;-
13061;R�gen, Landkreis;-;-;-;-;-;-
13062;Uecker-Randow, Landkreis;-;-;-;-;-;-
13071;Mecklenburgische Seenplatte, Landkreis;-;1;6;3;2;1
13072;Landkreis Rostock, Landkreis;-;1;2;7;1;2
13073;Vorpommern-R�gen, Landkreis;-;3;1;2;-;2
13074;Nordwestmecklenburg, Landkreis;-;-;4;1;2;4
